Categorie;Email
Openbare Ruimte;boete bij mij voor de deur. toen ik thuiskwam was er geen plek voor grote bus. ook moet ik rekening houden dat ik niet word klem geparkeerd. meestal zet ik hem dan wel in parkeervak na het etenme een waarschuwing geeft en me pardon geeft op boete en zal ik het nooit meer doen. anders houd me baas het in en heb ik echt geen leuke kerst. hou me door mijn financiele situatie altijd aan de regels.
Parkeren;medewerkers van de vuilnisophaaldienst lachten luid een travestiet uit. onbeschoft gedrag.disciplinegesprek met medewerkers, dat het gedrag niet kan als ambtenaar .
Basisinformatie;Er is sprake van stankoverlast van de cafetaria<wbr />/eethuis onder onze woning.De ventilatie lijkt niet in orde. Er is een ventilatiebuis langs ons balkon aanwezig en zou naar mijn idee boven het huizenblok af moeten zuigen, maar het lijkt of de stank opstijgt van beneden af naar boven langs de achterzijde van de woningen.
Parkeren;Burger heeft van DIVV brief ontvangen ivm. herinrichting Elandsgracht: hem werd in brief dd 08-10-14 een parkeerplaats aangeboden, aan te vragen via de website. 16-10-14 is een brief met sleutelhanger voor Europarking ontvangen. In de brief stond dat hij kon parkeren in de Museumpleingarage! Niemand van DIVV is bereikbaar of weet hier van. Kenmerk brief: DIVV<wbr />/uit<wbr />/2014016457 (briefdd 06-10) en DIVV<wbr />/uit<wbr />/2013011954Burger wil graag een antwoord krijgen zonder daar uren voor aan de telefoon te hangen!
Parkeren;Ik woon en werk aan de Maruis Meijboomstraat 34 en naast mijn woning zijn ze aan het bouwen. Er worden vanaf 7.00 s'morgens heipalen in de grond geslagen. Omdat ik mij door de herrie overdag niet kan concentreren, verschuif ik mijn werk naar s'avonds en s'nachts. Echter, ik kan door de herrie overdag ook niet slapen. Momenteel loop ik dus een beetje (boel) op mijn tandvlees. Ik heb al met een bouwinspecteur van de gemeente gesproken, die zou voor mij wel de begintijden etc controleren.Nee
Basisinformatie;de verbalisant met nummer 071266 heeft voor een slordige € 1600,- schade aan mijn bus gemaakt dit heeft hij gedaan omdat hij een id wilde zien en die werd niet afgegeven toen vond meneer het nodig om in mijn bus te klimmen en voor de nodige schade te verzorgen hier is een schade rapport vanmij de schade vergoeden van me bus ze hadden het recht niet om in mijn bus te klimmen en daardoor is schade ontstaan <br />graag willen wij het verhaal persoonlijk bespreken er zijn getuige van
Basisinformatie;De procedure van het maken van een afspraak bij Stadsdeel Nieuw West voor geboorteaangifte is niet passend bij de situatie. Een geboorteaangifte moet binnen drie dagen gedaan worden, maar bij Nieuw-West moet dit op afspraak, en de afspraak kan pas 2 a 3 dagen ind e toekomst gepland worden.Nee
Belasting, Werk en Inkomen;Op de afslag A10 - Basisweg is de groentijd van het verkeerslicht voor links afslaan richting de transformatorweg ingekort. Hierdoor ontstaat s'morgens rond 7 uur een file die tot op de A10 staat. Dit is levensgevaarlijk. Deze situatie is pas enkele dagen zo. Voorheen ging het prima.De tijden herstellen als voorheen.
Belasting, Werk en Inkomen;Silodam verplicht parkeren in vakken, en wordt niet meer gehandhaafd op buiten het vak parkeren.Graag dagelijks handhaven
Openbare Ruimte;Er is in de Witte de Withstraat weer een invalidenparkeerplaats bijgekomen.<br />Voor huisnummer 45 waren al 2 parkeerplekken voor invaliden, waarvan 1 voor ouders met een invaliden kind, 1 voor ????? geen reden te bedenken meer, het gezonde mensen en nu is er alweer  een nieuwe plek gekomen waarop kenteken 03-HN-PB staat. Deze plek is er sinds een paar weken maar heeft nog geen auto geparkeerd.<br />In een straat waar al zoveel plekken zijn  verdwenen is elke plek belangrijk.<br />Nee
Parkeren;Sinds september 2014 zijn wij geen inwoners meer van de gemeente amsterdam. Desondanks kregen wij toch een aanslag voor het jaar 2015. Wij vetrouwen erop dat de gemeente Amstrdam dit oplost en de aanslag als niet verstuurd beschouwd. Het gaat om de woning aan het andreasplein 135, met als oud bewoners M. Schuyt en A.M.W. KorthoutSinds september 2014 zijn wij geen inwoners meer van de gemeente amsterdam. Desondanks kregen wij toch een aanslag voor het jaar 2015. Wij vetrouwen erop dat de gemeente Amstrdam dit oplost en de aanslag als niet verstuurd beschouwd. Het gaat om de woning aan het andreasplein 135, met als oud bewoners M. Schuyt en A.M.W. Korthout
Openbare Ruimte;Op 8 december heb ik een melding gemaakt met registratienummer MORA-0280499. Hierop heb ik niets meer gehoord. Steeds opnieuw blijkt dat met meldingen betreffende horeca<wbr />/terrassen in Amsterdam Zuid niets wordt gedaan en er geen enkele reactie volgt op de melding.1) reageren op klacht met registratienummer MORA-0280499<br />2) uitzoeken waarom stadsdeel Amsterdam Zuid niet reageert op dit soort meldingen
Belasting, Werk en Inkomen;One year ago I moved from Amsterdam to Rotterdam. At that time I changed my address in the Gemeente in Rotterdam, and was told me that my wife address (since we are register as married) will change automatically. Last month we find out that this was not the case and soon after she changed the address to Rotterdam we received a bill from the Amsterdam gemeente concerning the year 2014, however she was already living in Rotterdam. We have all the documents proving that the rent contract in Amsterdam was finished and we have the new house contract in Rotterdam since 25 January 2014. So we would like to claim the last bill paid, once that at the moment we are paying double taxes, in Amsterdam and Rotterdam.Return the money involved in the double taxation.
Openbare Ruimte;Het betreft het weghalen van fietsen die geparkeerd staan. In dit geval betreft het een fiets die 15 cm buiten het vak  stond en aan een paal. Dit heeft te maken met de totale chaos van fietsen door de storm van de afgelopen dagen. Deze storm houd iedereen in Nederland bezig. en in plaats van proberen de fietsen te parkeren of op te ruimen verwijderd men de eenvoudigste geparkeerde fiets.<br />De meeste fietsen waren omgevallen en lagen op elkaar om en rond de vakken.<br /><br />Graag wil ik naast een uitleg waarom men niet de moeite neemt om de fietsen op te ruimen ipv de enige fiets die staat weg te knippen. <br />Daarnaast wil ik graag de 30 euro terug van het terug ontvangen van mijn fiets en een vorm van excuus over dit misverstand.
Openbare Ruimte;Goedemiddag, <br /><br />Eind februari hebben wij een gecombineerde belastingaanslag van 320 euro gekregen. Wij hebben toen gekozen voor gespreide betaling middels automatische incasso en dit hiervoor bijgevoegde formulier binnen 1 week opgestuurd. Nu is er nog niks afgeschreven door de gemeente Amsterdam en ontvangen wij vandaag opeens de eerste aanmaning.<br />Kunt u dit verklaren?<br /><br />Mvg,<br /><br />E. MuscasPer e-mail
Openbare Ruimte;Bij de Gemeentelijkeombudsman kan ik niet terecht met deze klacht. Bij Waternet kan ik de klacht indienen, maar dat is als de slager die zijn eigen vlees keurt. Bovendien heb ik al geklaagd maar ik krijg een antwoord met de strekking 'het is zoals het is'. <br />Ik woon in een koophuis in Buitenveldert. Een 3-kamerwoning. Nu krijg ik sinds ik hier woon een maandelijkse factuur van waternet voor het drinkwater. Deze factuur bedraagt € 51,99.<br />Ik woon alleen. Ik heb zo eens om mij heen gevraagd, maar er is geen mens die zoveel betaalt per maand aan Waternet voor het huishoudelijk water. Ik betaal dus ongeveer 600 euro per jaar!!!<br />Ik heb Waternet gevraagd, die zeggen het bedrag te baseren op het aantal eenheden in mijn huis. Raadselachtig, want ik gebruik toch geen water in mijn huiskamer of slaapkamer? Ik heb alleen een douche en een keuken. Toch betaal ik voor 4 eenheden. Een raadselachtige manier van berekenen als je t mij vraagt. En 51,99 pm voor 1 persoon is buiten proportie.Ik zou graag willen dat kritisch gekeken wordt naar de bedragen die Waternet factureert. Waarom kan de schatting niet gebaseerd worden op het aantal mensen in het huishouden, net als bij de afvalstoffenheffing e.d? Ik betaal nu meer watergeld per maand dan bv een gezin met 4 kinderen. En iets terugkrijgen doe ik ook niet, want ik heb geen watermeter dus Waternet weet nooit hoeveel ik werkelijk verbruik. De kans is groot dat ik gewoon 300 per jaar te veel betaal aan Waternet en dat geld ben ik gewoon kwijt. Dat is nogal makkelijk incasseren zo, als je t mij vraagt.
Openbare Ruimte;Ik wil dat het Kwaku Festival stopt , dit omdat ik mij hier niet welkom voel.De vergunning intrekken van het Kwaku Festival.
Openbare Ruimte;aanvraag ingediend deze afgewezen omdat gegevens ontbreken. klant kan aan de gegevens niet komen omdat de boekhouder deze niet kan gegven omdat klant de boekhouder niet kan betalen weigert de boekhouder dit.klant wil ipv de aanvraag afwijzen contact opnemen met de boekhouder
Basisinformatie;Beller zegt twee bedrijfsvergunningen te moeten betalen. Dit omdat op het adres in Zuid maar een bewonersvergunning mogelijk is. Omdat zij en haar echtgenoot een auto nodig hebben zijn zij gedwongen een bedrijfsvergunning te nemen omdat hier twee auto's onder kunnen worden gesteld. Deze vergunningen zijn nu veel duurder geworden. beller wil graag een herziening van de vergunning. Vorige klacht die ik heb gestuurd laten vervallen. Verhaal was niet geheel duidelijk. Dit is de juiste weergave.vergunning herzien
Belasting, Werk en Inkomen;Ik wil graag dat jullie een grotere huis voor ons kunnen vinden om er in te wonen in Bos en Lommer a.u.b Alvast bedankt,Geachte Gemeente,<br />Ik ben Aida Matawea ik ben 12 jaar ik wil heel graag dat jullie ons helpen met een grotere woning in Amsterdam-West Bos en Lommer En ik wil niet weg van deze plek want ik ben hier op gegroeid Wij wonen in een huis met 6 personen 48m2 ik heb 3 broertjes zij slapen in een kamer 3x2,5m2 en Ik slaap in een kamer 2,5x1,5m2+De koelkast en mijn moeder een vader slapen in de woonkamer een dat is niet goed wand zij horen een eigen kamer te hebben een ik ga volgen jaar naar het Voorgezet onderwijs een ik heb snel een eigen kamer nodig om er in te werken en mijn broertjes ook hebben een grotere kamer nodig een mijn broertjes zijn 11,9,4 Jaar zelfs hun kleding kast zit in de keuken! een er is geen plek voor niks voor geen spelletjes voor niks een wij slapen ook niet goed in een krabbe kamer een wij hebben geen plek om te leren alleen in de woonkamer voor de tv een dat is niet hoed want wij concentreren ons niet goed een ik hoop dat jullie goed nieuws hebben om te zeggen bedankt
Openbare Ruimte;Ik heb een parkeerboete gekregen op 29-1-2014. Hierbij s er mij verteld door een reparateur dat ik niet hoefde te betalen. toch een boete gekregen. Heb hier over een bezwaar ingediend dat dit tegen mij was verteld en dat ik getuigen had. Volgens mevrouw van klachten werd er niets met getuigen gedaan. Mijn bezwaar werd afgewezen. Dit omdat het onmogelijk was dat iemand van monteursdienst zulke info zou geven. Dus ik zou liegen. Door deze reactie heb ik 40 euro extra betaald om mijn gelijk te krijgen bij de rechtbank. Hierbij kwam uw vertegenwoordiger op eens met een heel andere verdediging. Dat ik een monteur niet mag geloven en dat er elders palen wel werkte. Ze konden geen eens laten zien hoever die waren alleen een schimmig kaartje. Door deze wijziging in verdediging hebben ze me geen eerlijke kans geven. Blijkbaar mag dit wel van de rechtbank. Misschien als ze dit gelijk hadden gedaan bij mijn eerste bezwaar had ik misschien wel de 40 in me zak gehouden en niet naar de recht bank.ik wil het geld van de rechtbank terug door wijziging van verdediging. Via hoger beroep dit proberen te regelen kost weer 120 extra
Openbare Ruimte;Ik was bij jullie op bezoek als toerist van maandag 22 december tot donderdag 25 december<br />Ik was gewaarschuwd dat Amsterdam 1 van de duurste steden ter wereld was VOO parkeergelegenheid, dus informeerde ik in het hotel naar een goedkopere oplossing. Ik werd doorverwezen naar een P+R garage en kwam terecht in de garage aan het olympisch stadion. Zowel in het hotel als in de parkeergarage werd gecommuniceerd dat het tarief €8 voor de eerste dag was en daarna €1 per bijkomende dag. Bovendien zou ik mijn ticket van de tram kunnen recupereren bij de eindafrekening (ter info: ik parkeerde mijn wagen op maandag iets na 17u en ging hem ophalen op donderdag iets na 8u)In eerste instantie wil ik een verklaring<wbr />/berekening van het bedrag van €123 euro, dit strookt totaal niet met de communicatie overal en zie ik dan nu ook als oplichterij. Mogelijk kunnen jullie mij van het tegendeel overtuigen, of anders het teveel terugstorten?<br />In tweede instantie zouden jullie toch eens moeten nadenken over welke afstapplaatsen wel en niet correct zijn voor de reductie. Ik stapte af aan het Museumplein. Volgens mij toch een behoorlijk centrale en toeristische afstapplaatsen die zeker in aanmerking moet komen, als men al zoveel moeite doet om de wagen aan de stadsrand te parkeren en zo het centrum verkeersvrij houdt. En hoe kan iemand van buiten Amsterdam nu in godsnaam weten welke haltes wel en niet in aanmerking komen voor reductie.<br />Beide zaken zijn volgens mij toch wel belangrijk genoeg om in overweging te nemen als toeristische troef. Het is voor mij in ieder geval een boodschap die ik in de toekomst zou meegeven aan mensen die jullie stad willen bezoeken
Parkeren;Ik probeer te vinden waar de containers voor plastic afval staan, maar de site werkt niet. <br />http:<wbr />/<wbr />/www.amsterdam.nl<wbr />/veelgevraagd<wbr />/?caseid={E2A2E151-0156-47E8-82A6-F38157ACFA14}&id=vraag<wbr />_2<br />Optie Waar staan de containers? gaat nergens heen.Zorgen dat het makkelijk is voor Amsterdammers om informatie te vinden om te kunnen recyclen en het hun juist niet moeilijker maken door slechte links
Belasting, Werk en Inkomen;dhr Janssen parkeerde bij de Arena, P+R, heeft de stappen volgens de regels uitgevoerd, maar moest toch het volle tarief betalen.Per e-mail
Parkeren;fout op website bij bekendmaking.<br />De link zegt dat bezwaar naar rechtbank amsterdam moet. Navraag leert mij dat dit bestuurscommissie Oost afd. juridisch moet. Zo staat het ook op amsterdam.nl. Bij andere stadsdelen staat ook bestuurscommissie.juiste adres via link naar bezwaar maken bij de besluiten omgevingsvergunning
Openbare Ruimte;Tot mijn grote verbazing zijn de afvalbakken verwijderd in de wijk en ligt er overal erg veel zwerfvuil.dat er weer afvalbakken worden geplaatst. de buurt is in een paar weken enorm vervuild met zwerfvuil. Gorenpad<wbr />/notweg ri osdorperban is een drukke doorgaande route en de vuilnisbakken waren altijd propvol!. Een oplossing is dan niet om de vuilnisbakken te verwijderen maar om ze vaker te legen!
Belasting, Werk en Inkomen;I received a letter from the Gemeente Amsterdam to pay AFV taxes regarding my stay in a student dorm, while studying at University of Amsterdam. I strongly disagree with this decision as I had no income during that period and all surcharges should be applied to the Landlord (DUO). So i would appreciate to change your decision. Thank you for your understanding
Openbare Ruimte;verzoek om kwijtschelding afvalstoffenheffingKwijtschelding
Parkeren;ik probeer nu al meer dan 45 minuten de helpdesk formulieren aan de lijn te krijgen. een bandje ratelt maar 'een ogenblik geduld aub, mijn geduld raakt na 45 minuten aardig op.kortere wachttijd, terug bek functie.
Openbare Ruimte;klacht de vuilnis word niet mee genomen om dat ze het tezwaar vinden of teonhandig hier blijft het vuil staan  dinsdags word dit dan wel mee genomen door een andere ploeg nu is vandaag 30-1-2015 de rij fietsen van mijn bedrijf dus danig omgegooit door de medewerker van de vuilnis dienst hierdoor heb ik nu schade op gelopen deze meneer loopt altijd bedrijgend en zeer intimiderend mijn wiknkel in loopt met een zeer grote monddat de man er op aan gesproken word en zijn werk gewoon gaat doen met een meerdere maten beleefdheids in houding en met zijn handen van de verkoopwaar afblijft
Basisinformatie;Mijn vraag aan jullie is, wanneer gaan jullie mijn geld overmaken. Ik ben geen klein kind, en verwacht een nette en correcte behandeling.<br />Kijk even, naar mijn dossier, clientnummer 10317042, E.D.Botterman, geboren 17-5-1960.Wat denken jullie nou zelf. <br />sowieso een voorschot morgen aan mij overmaken, en de hele zaak herzien, en onderzoeken, en daarna de rest.<br />En, volgens mij heb ik recht op ongeveer 1500 euro permaand. De laatste 3 jaar, slechts 100 euro per maand.<br />Ik informeer ook nog even, dat ik de ombudsman, hier ook over iformeer, wat wel zo netjes is.
Belasting, Werk en Inkomen;Retouradres: Postbus 12 620, 2500 DL  Den Haag<br /><br /> De heer Miloud El Addouti<br /> Insulindeweg 656-1<br /> 1095 EE Amsterdam   <br />               Gemeente Den Haag<br /><br /><br />  <br />Dienst Publiekszaken<br /><br /><br />              Uw brief van<br />            <br />              Uw kenmerk<br />            <br />              Ons kenmerk<br />            KOG471636<br />              Doorkiesnummer<br />                <br />              E-mail<br />                <br />              aantal bijlagen<br />            -<br />              Datum<br />           11 mei 2015<br /><br /> <br /><br /><br /> <br /><br /> Geachte heer El Addouti,<br /> <br />Uit de basisadministratie persoonsgegevens van de Gemeente Den Haag blijkt, dat daarin de volgende gegevens zijn opgenomen: <br /> <br />Naam:             El Addouti <br />Voornamen:  Miloud   <br /> Geboren op:  08 januari 1982 te Driouch Marokko <br />Nationaliteit: Nederlandse, Marokkaanse<br /><br /> <br /> <br /> <br /><br /><br /><br /><br /> Met vriendelijke groet,<br /><br /> Namens het college van Burgemeester en Wethouders,<br />De aangewezen ambtenaar.  <br /><br /><br /><br /><br /><br />(Deze mail is centraal in een geautomatiseNee
Openbare Ruimte;De plantsoenendienst die de groenstrook achter mijn tuin bij houdt zag daar een stapel vuil liggen en heeft de aanname gemaakt dat dit van mij was. Althans daar ga ik vanuit. Zij hebben dit vuil namelijk opgepakt en in mijn tuin gegooid, hetgeen ik erg apart vind daar zij niet kunnen weten of dit van mij is en het vanzelfsprekend ook niet is anders zou deze klacht niet terecht zijn.Ik ga er van uit dat dit spoedig weer word opgeruimd en dan bij voorkeur door de mensen die het er ook in gegooid hebben. Die staan vandaag namelijk uberhaupt met zijn 8-en het werk te doen van hoogstens 2 personen. Ja zelfs als ik in acht neem dat het waarschijnlijk geen volwaardige arbeidskrachten zijn.
Belasting, Werk en Inkomen;Bij de Kalfjeslaan vlakbij metrohalte Uilenstede worden werkzaamheden verricht. Daartoe is een deel van de Kalfjeslaan afgesloten. De situatie is voor fietsers onduidelijk en gevaarlijk. Een hek met borden lag op de grond en was in het donker niet zichtbaar. Ik ben daar tegenaan gereden met mijn fiets en heb schade.Ik wil dat de gemeente de situatie op de genoemde plek de duidelijkheid en veiligheid verbeterd. Bijvoorbeeld door betere verlichting van de werkplek. Ik wil ook vergoeding voor reparatie van de onstane schade aan mijn fiets.
Openbare Ruimte;er wordt vervals door inkomensconsulent dwi . Ik heb een nwe inkomensconsulent dwi zuidoost amsterdam nl mevr S. Merkies.zij probeert mij in te sluizen fouten te maken om zodoende mijn broodnodige uitkering te verliezen . door mij brieven te sturen en een deadline om formulier op tijd te sturen zonder mij de formulier zelf toe te sturen en met verkeerde post code dwi en nu ben ik in haar nwe brief 21 jaar en krijg alleenstaande uitkering maand dec 2014 terwijl ik een kind heb en ernstig ziek ben(kankerpatient)dat zulke mensen daar niet moeten werken . ik wil een eerlijke menselijke inkomensconsultent
Parkeren;Geachte leer,<br />Met mijn gezin planden wij een dagje uit naar de Expo en stad Amsterdam.<br />Ter voorbereiding keek ik, zoals aangeraden werd, op de kaart van uw gemeente om de parkeertarieven in te zien bij de Expo.<br />Na invullen van het adres (Gustav Mahlerlaan) bleek dat wij uitkwamen in de zone van 0.20 cent p.u. tot 2.40 per uur.<br />Daarom parkeerden wij in de parkeergarage en hadden een leuke dag uit.<br />Bij terugkomst bleek dat de parkeergarage ons 50 euro koste.<br />dit was nogal een schrik!<br />Ik dien een klacht in omdat de informatie op uw gemeentesite verkeerd is.<br />Ik wil graag een vergoeding van de onkosten die ik had omdat ik afging op de informatie die op uw site vermeld wordt.
Belasting, Werk en Inkomen;De gecombineerde belastingaanslag kwijtschelden, omdat wij officieel bewijs hebben dat wij per 1 april 2015 niet woonachtig zijn geweest in Amsterdam. Op 7 April hebben wij onze woning gekocht in Amsterdam zuid aan de Evert Cornelisstraat 9-4. Ik heb dus niet meer aan de Korte Prinsengracht gewoond, maar kon dit niet met terugwerkende kracht doorvoeren. Door gigantische asbest problemen met het nieuwe huis is het er ook bij ingeschoten dit nog aan te vragen.<br />Daarnaast vul ik deze klacht nu voor de derde keer in, omdat de applicatie niet naar behoren werkt.Nee
Openbare Ruimte;Wij hebben al meerdere malen en op verscheidene wijzen aangegeven dat tegen de gevel van onze woning een motor geparkeerd staat van de buren op Boeninlaan 357. Hier wordt maar niets tegen gedaan terwijl de motor hinder veroorzaakt. Bovendien is er in het verleden op dezelfde plek een motor van dezelfde buren in de fik gestoken met schade aan onze woning tot gevolg. Langs deze weg verzoeken wij u nogmaals om te handhaven en ervoor te zorgen dat motor verplaatst wordt.Ja
Openbare Ruimte;Meneer heeft eeen boete gekregen voor blauwe zone gebied, terwijl hij een ontheffing heeft voor de blauwe zone. Dit is niet de eerste keer. Eerder in bezwaar gegaan maar heeft niet geholpen.Dat de handhaving beter gaat kijken in de auto's om te kijken of zij een ontheffing hebben. En niet zomaar boetes uitschrijven.
Basisinformatie;Ik heb een vraag door op onduidelijkheden bij het parkeren in het centrum.<br /><br />Afgelopen zaterdagnacht, 6 december om 0:10 stond mijn voertuig(MAZDA) met de kenteken XL-DH-09 in TH Binnenkantstraat 12 te Amsterdam geparkeerd. <br />Ik heb vernomen dat het parkeertarief in het centrum na 24:00 voor de hele week (7 dagen) gratis is. Wegens onduidelijkheden van vrienden en kennissen geldt een andere betaaltijd in de centrum van 12:00 tot 02:00.<br /><br />Na onderzoek op de Amsterdamse plattegrond zie ik de betaalzone 's.<br />• maa t<wbr />/m zat 09.00-02.00 uur en zondag 12.00-02.00 uur<br />• tarief € 5,00 p.uur.<br /> * oplenging tot 02.00 uur geldt m.i.v. 1-06-2014<br /> In de schil rond het stadshart (gebied binnen de Zoutkeetsgracht, Singelgracht, Nassaukade, Stadhouderskade, Mauritskade en midden Nieuwe Vaart) geldt betaald parkeren op : <br />• maa t<wbr />/m zat 09.00-24.00 uur en zondag 12.00-24.00 uur<br />• tarief € 4,00 p.uur.<br />Naar aanleiding van deze klacht eis ik een opheffing van het bedrag die betaald moet worden. Deze boete bedraagt €60.50 euro.<br /><br />Om enige problemen te voorkomen wil ik graag zo spoedig mogelijk een redenering en uitleg of acceptie van mijn klacht. Omdat binnen 14 dagen de boete betaald moet worden. Ik verzoek u daarom om een reactie in deze week (weeknr. 50).
Openbare Ruimte;Goedkeuren<wbr />/beoordelen bestemmingsplan nieuwbouwproject 'de Vrijekade' gaat in een slakkentempo. De wijziging in het bestemmingsplan welke in eerste instantie werd afgekeurd is in februari nogmaals ingediend bij  stadsdeel noord. Alle woningen zijn in juni 2014 toegewezen en men heeft reserveringsovereenkomsten gesloten en een borg betaald. Hierbij heb ik zoals vele toekomstige bewoners maatregelen getroffen door de huidige woning te koop te zetten. Een afkeuring is van het eerste plan is geen ramp maar doordat de beoordeling van de nieuwe bestemmingsplan maanden op zich laat wachten word ik, zoals vele met grote financiele problemen opgezadeld. De verkoop van de huidige woning die vertraging oploopt. Het gedwongen aanhouden van een huurwoning door mijn partner. Immers beide woningen zijn niet geschikt voor om samen erin te wonen vanwege woon-werkcombinaties. Kortom de trage afhandeling van de aanvraag leidt tot extra kosten,onzekerheid over de hypotheek stagnatie van woning doorstroomDruk uitoefenen op de betrokken ambtenaren<wbr />/afdeling om effectient te werken en beter te communiceren over de voortgang. Nu is het zo dat we steeds moeten navragen hoe het ervoor staat waar je elke keer een andere antwoord op krijgt. Kortom niet des 21ste eeuw en of helder.
Openbare Ruimte;Ik dien nogmaals bezwaar in tegen de aanslag voor afvalstoffenheffing voor de woning aan de Singel 198D (biljetnummer 36752751), aangezien ik niet meer op dat adres woon. Het betreffende huis staat te koop en is momenteel onbewoond. Er wordt dus ook helemaal geen gebruik gemaakt van de ophaal van afhaal. Mijn huidige adres is Aurikelstraat 112. Zie bijlage.Annuleren van de aanslag.
Openbare Ruimte;mevrouw zat op een bankje op het Rembrandplein iets te eten toen er een veegwagen van de gemeente aan kwam(4778 nr. van veegwagen) . Mevrouw stond op en de medewerker spoot al haar spullen (tas met inhoud, bakje met yogurt etcetc) van het bankje schreeuwend dat 'mevrouw niet op het bankje mocht eten want 'het is toch geen terras'. Mevrouw vond de manier van doen bovendien erg bedreigend.Mevrouw wil graag contact met de gemeente hierover en schadevergoeding voor de beschadigde vertrouwelijke documenten die zich in de tas bevonden.
Basisinformatie;Geachte meneer<wbr />/mevrouw,<br /><br />Hierbij wil ik mijn onvrede uitspreken over de verhoging van de parkeervergunningen in de binnenstad van Amsterdam.<br />Terwijl er al 5 jaar lang een economische crisis heerst in Nederland, durft Cition de parkeervergunningen in de binnenstad van Amsterdam met meer dan 20 % te verhogen!<br />Met dank aan D66!<br /><br />Hoogachtend,<br /><br />H.R.W Deerenberg<br />Ik wil graag dat deze klacht B en W bereikt.
Openbare Ruimte;Ik wil dat het Kwaku festival stopt. Ik voel mij hier niet welkom!vergunning intrekken van het Kwaku festival
Belasting, Werk en Inkomen;Geachte gemeente bestuurders,<br />Met ingang van het volgende inningstermijn in 2015 is het tarief voor mijn parkeervergunning in Westerpark 1.1 verhoogd naar € 165.- per 6 maanden. Ik vind dit rond uit schandalig. In dit gebied beschikken we over een van de kleinste parkeergebieden van Amsterdam. Om dan toch een verhoging door te voeren, onder het motto van harmonisering? Dit gaat mij alle perken te buiten. Welke harmonisering? voor wie? zeker niet voor de bewoners van dit stadsdeel. Om dit moment zijn er in mijn straat(Fannius Scholtenstraat) werkzaamheden bezig en wordt de straat opnieuw ingericht. Door deze herinrichting komen er minder parkeerplaatsen terug!!!! en dan toch een parkeervergunning verhoging doorvoeren? Schandalig.<br /><br />Dit komt bovenop de eerder mededeling van november 2014 dat ik als bewoner van De Boetzelear geen recht zou hebben op een parkeervergunning! De uitspraak van mijn bezwaar laat overigens nog steeds op zich wachten. <br />Maar dan nu voor de verhoging!!!!Ik verzoek de gemeente in alle redelijkheid te kijken naar de verdeling van de vergunninggebeiden en bewoners van Amsterdam niet op kosten te jagen omdat zij beschikken over een voertuig. Amsterdam bestaat ook nog uit bewoners in sociale huurwoningen die het op deze wijze alleen maar moeilijker worden gemaakt om in de stad het hoofd boven water te houden.<br />Hoogachtend, <br />M.E. Rellum
Belasting, Werk en Inkomen;Wij hebben aanslagbiljet Reclamebelasting biljetnr 36268420 en Precariobelasting biljetnr 36274551 ontvangen.<br />Onze Bedrijf is gestaakt per 31-12-2014.<br />Vanaf 1-1-2015 zit er nu andere bedrijf Seafood Bar Spui BV op adres Spui 15.Naar aanleiding bovengenoemde rede kunt u voor ons  die twee aanslagbiljetten intrekken.
Openbare Ruimte;Welke minister of partij heeft bedacht dat het verlagen van de alleenstaande ouder uitkering als stimulans werkt en dat je als je werkt je er op vooruit gaat! Met welk inkomen lukt dat? En hoeveel uur werken? En wie betaald de kinderopvang, ook wat er over blijft? En wie voed mijn tweeling van 7 jaar op? Mijn moeder van 75? En wat als je kinderen extra zorg en aandacht nodig hebben? Is er werk voor alleenstaande moders van bijna 50.Laat graag weten aan de overheid dat ik niet naar de voedselbank wil en graag wil werken maar ook een verantwoordelijk, enige!, ouder wil zijn!
Belasting, Werk en Inkomen;Op donderdag 12 maart 2015 wilde ik in het pandenarchief de stukken inzien m.b.t. Haarlemmerdijk 140 met BWT 81-10-0459 en BWT 81-09-0583. Vanaf 22 oktober 2014 ben ik al op zoek naar de gewaarmerkte bouwtekeningen en vergunningen m.b.t. Haarlemmerdijk 138 en Haarlemmerdijk 140. De behandelend ambtenaar dhr. J.R. Appel stuurde me naar het Voorlichtings Loket (Receptie) echter daar lagen de openbare stukken ook niet. Ik doe hierbij een beroep op de Wet Openbaarheid van Bestuur. Overheidsinformatie moet openbaar zijn en tevens stond de reguliere bouwvergunning BWT 81-10-0459 van 30 januari 2015 niet op de website van de Gemeente Amsterdam Stadsdeel Centrum.Voor een gewone burger is het ondoenlijk om door de wir war van ambtenaren, data, regels, de benodigde papieren te kunnen inzien voor het bezwaarschrift. Vergunningen worden al zes jaar verandert, vergunning op vergunning terwijl de maatvoering niet klopt van de bouwtekeningen.
